Year,MAJOR,TOTAL_PHDS
1985,Phy_Female,569
1985,Engin_Female,198
1985,Ed_Female,"3,491"
1985,Hum_Female,"1,392"
2000,Phy_Female,"1,022"
2000,Engin_Female,838
2000,Ed_Female,"4,179"
2000,Hum_Female,"2,672"
2015,Phy_Female,"1,988"
2015,Engin_Female,"2,301"
2015,Ed_Female,"3,502"
2015,Hum_Female,"2,832"
