Year,MAJOR,TOTAL_PHDS
1985,Physical Science,569
1985,Engineering,198
1985,Education,"3,491"
1985,Humanities,"1,392"
2000,Physical Science,"1,022"
2000,Engineering,838
2000,Education,"4,179"
2000,Humanities,"2,672"
2015,Physical Science,"1,988"
2015,Engineering,"2,301"
2015,Education,"3,502"
2015,Humanities,"2,832"
